Run_ID,SIR_Base,SIR_Enh,SIR_Imp,SINR_Base,SINR_Enh,STOI,PESQ_WB,PESQ_NB
batch_test_000,0.03,12.16,12.12,-2.15,-6.18,0.5279,1.0323,1.3705
batch_test_001,0.10,18.13,18.03,-2.08,-2.97,0.4204,1.0251,1.3011
batch_test_002,0.04,18.23,18.20,-2.06,-2.37,0.4983,1.0369,1.2962
batch_test_003,-0.01,19.35,19.36,-2.13,-5.82,0.5284,1.0367,1.3006
batch_test_004,0.04,11.05,11.01,-2.09,-1.74,0.5073,1.0267,1.2572
batch_test_005,0.09,12.94,12.85,-2.04,-4.95,0.5578,1.0527,1.4269
batch_test_006,-0.02,18.66,18.68,-2.18,-3.15,0.6146,1.0302,1.3350
batch_test_000,0.00,23.17,23.17,0.00,8.44,0.8623,1.6125,2.4057
batch_test_001,-0.00,25.79,25.79,-0.00,5.94,0.8302,1.2892,2.0889
batch_test_002,0.00,29.94,29.94,-0.00,3.39,0.7567,1.1669,1.8862
batch_test_003,-0.00,23.61,23.61,-0.00,6.89,0.8476,1.4686,2.3494
batch_test_004,0.00,20.53,20.53,-0.00,2.87,0.8379,1.2546,1.8686
batch_test_000,-0.00,17.07,17.07,-0.00,6.06,0.8121,1.2744,2.2722
batch_test_001,0.00,17.50,17.50,-0.00,6.74,0.8120,1.1950,2.1478
batch_test_002,-0.00,17.14,17.14,-0.00,6.57,0.8498,1.3451,2.4224
batch_test_003,-0.00,24.27,24.27,-0.00,5.40,0.7597,1.2388,2.1855
batch_test_004,0.00,19.29,19.29,-0.00,8.54,0.8037,1.1444,2.2544
